ID,CELL_ID,AXIS_ORDINATE_ID
274,2740092_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_040
275,2739860_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
276,2760055_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_290
277,3153235_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_090
278,2760074_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_129
279,3152556_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_070
280,2740957_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_083
281,2739842_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
282,2739849_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
283,2739793_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
284,3153124_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_120
285,2740264_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
286,2740331_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_110
287,2786697_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_070
288,2741300_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_260
289,3151404_REF,FINREP_REF_F_44_03_REF_FINREP 2_9_1_010
290,3151838_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_020
291,3153099_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_021
292,2740271_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
293,3151861_REF,FINREP_REF_F_42_00_REF_FINREP 2_9_1_010
294,3152515_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
295,3153039_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_010
296,2739786_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
297,3151902_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_070
298,2740194_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_080
299,3152505_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_070
300,2740379_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_310
301,3170401_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_032
302,3152389_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_120
303,2740041_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_020
304,3152664_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_060
305,3173427_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
306,2739717_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_040
307,2786801_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_009
308,2740339_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_190
309,3151955_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
310,2740081_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_300
311,2740087_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_040
312,3170360_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_035
313,2739733_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_140
314,2740021_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_240
315,2740173_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_150
316,2759989_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_010
317,3170241_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_009
318,2739771_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_160
319,2740396_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_210
320,2760004_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_233
321,2739892_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_2_040
322,3152995_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_050
323,2739791_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_140
324,3152416_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_005
325,2739931_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_090
326,2786756_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_065
327,3151934_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_130
328,2741183_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
329,2740292_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
330,3153181_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_035
331,3152566_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_020
332,2760001_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_177
333,2739819_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_180
334,2760104_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_020
335,2740240_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_270
336,3170255_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
337,3152377_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_190
338,3152468_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_140
339,3152643_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_040
340,3152654_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_080
341,2740317_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_030
342,2741017_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_090
343,2760084_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_080
344,2741274_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_009
345,2739897_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_1_010
346,2739832_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
347,2739839_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
348,3152606_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_040
349,2741185_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_199
350,3153259_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_140
351,3153117_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_050
352,2741228_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_069
353,2741279_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_060
354,3170412_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_036
355,3152973_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_1_009
