MAINTENANCE_AGENCY_ID,CUBE_ID,NAME,CODE,FRAMEWORK_ID,CUBE_STRUCTURE_ID,CUBE_TYPE,IS_ALLOWED,VALID_FROM,VALID_TO,VERSION,DESCRIPTION,PUBLISHED,DATASET_URL,FILTERS,DI_EXPORT
,LNG_SCRTY_PSTN_PRTCTN_ARRNGMNT_GVN_ASSGNMNT,LNG_SCRTY_PSTN_PRTCTN_ARRNGMNT_GVN_ASSGNMNT,,BIRD_EIL,LNG_SCRTY_PSTN_PRTCTN_ARRNGMNT_GVN_ASSGNMNT,,,,,,,,,,
,LNKD_ENTRPRS_ASSGNMNT,LNKD_ENTRPRS_ASSGNMNT,,BIRD_EIL,LNKD_ENTRPRS_ASSGNMNT,,,,,,,,,,
,LN_AND_ADVNC_HDG,LN_AND_ADVNC_HDG,,BIRD_EIL,LN_AND_ADVNC_HDG,,,,,,,,,,
,LineageSummaryCache,LineageSummaryCache,,BIRD_EIL,LineageSummaryCache,,,,,,,,,,
,LogEntry,LogEntry,,BIRD_EIL,LogEntry,,,,,,,,,,
,MAINTENANCE_AGENCY,MAINTENANCE_AGENCY,,BIRD_EIL,MAINTENANCE_AGENCY,,,,,,,,,,
,MAPPING_DEFINITION,MAPPING_DEFINITION,,BIRD_EIL,MAPPING_DEFINITION,,,,,,,,,,
,MAPPING_ORDINATE_LINK,MAPPING_ORDINATE_LINK,,BIRD_EIL,MAPPING_ORDINATE_LINK,,,,,,,,,,
,MAPPING_TO_CUBE,MAPPING_TO_CUBE,,BIRD_EIL,MAPPING_TO_CUBE,,,,,,,,,,
,MEMBER,MEMBER,,BIRD_EIL,MEMBER,,,,,,,,,,
,MEMBER_HIERARCHY,MEMBER_HIERARCHY,,BIRD_EIL,MEMBER_HIERARCHY,,,,,,,,,,
,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE,,BIRD_EIL,MEMBER_HIERARCHY_NODE,,,,,,,,,,
,MEMBER_LINK,MEMBER_LINK,,BIRD_EIL,MEMBER_LINK,,,,,,,,,,
,MEMBER_MAPPING,MEMBER_MAPPING,,BIRD_EIL,MEMBER_MAPPING,,,,,,,,,,
,MEMBER_MAPPING_ITEM,MEMBER_MAPPING_ITEM,,BIRD_EIL,MEMBER_MAPPING_ITEM,,,,,,,,,,
